instances,algo_PPO,algo_SACdiscrete,algo_IQN,algo_Rainbow
MountainCar-v0#0.3642857142857142#0.005#0.004428571428571429,1.0,1.0,0.9963097069745381,0.2511250187985147
CartPole-v1#6.859999999999999#1.3#0.01#0.65#7.0,1.0,0.7174472861951,0.5507236351922086,0.3595033073972257
CartPole-v1#12.74#0.1#0.13#0.35#13.0,1.0,0.4368514046736472,0.1696037122644361,0.17470733754574694
MountainCar-v0#0.6#0.0037142857142857147#0.001642857142857143,1.0,0.8609848911940466,0.997747773142406,0.9967893787349194
MountainCar-v0#0.05#0.005#0.005821428571428572,1.0,1.0,0.9859759027397665,0.04008345106850042
MountainCar-v0#0.20714285714285713#0.002428571428571429#0.005821428571428572,0.0,0.0,0.0,0.0
CartPole-v1#6.859999999999999#1.9#0.06999999999999999#0.65#7.0,1.0,0.6407723444830284,0.7340510063094632,0.3128122553835323
CartPole-v1#0.98#0.1#0.13#0.95#13.0,0.9066247119006624,0.6667413960090985,0.6498819689911627,1.0
MountainCar-v0#0.5214285714285714#0.005#0.001642857142857143,1.0,1.0,0.9976604679064188,-0.0
LunarLander-v2#32.85714285714286#0.0#1.7,0.7762377766182244,0.6199132175551922,0.7020870332667448,1.0
MountainCar-v0#0.12857142857142856#0.001142857142857143#0.008607142857142858,0.0,0.0,0.0,0.0
LunarLander-v2#44.285714285714285#0.0#1.0999999999999999,0.6375673578457282,0.4855747101534569,0.7071651447179673,1.0
CartPole-v1#18.62#1.3#0.01#0.65#13.0,1.0,0.61875034451492,0.621117820076812,0.35548706203250485
LunarLander-v2#32.85714285714286#1714.2857142857142#1.7,0.9050302594112598,0.8367000884460032,0.9181751017510774,1.0
LunarLander-v2#44.285714285714285#571.4285714285714#1.0999999999999999,0.7943376707710429,0.7720141580506521,0.7985986917629968,1.0
LunarLander-v2#50.0#1714.2857142857142#1.5,0.666353537441877,0.8182347552292318,0.7993754107580686,1.0
LunarLander-v2#15.714285714285715#2000.0#1.7,-0.0,-0.0,0.9600733210849693,1.0
MountainCar-v0#0.6#0.0005#0.00025,1.0,1.0,0.6575589840222981,0.6621913398500373
LunarLander-v2#10.0#1714.2857142857142#1.0999999999999999,0.9930697352405113,1.0,0.9371010161530774,0.9713149341906712
CartPole-v1#0.98#0.1#0.01#0.35#19.0,1.0,0.9183546146487541,0.3986278691060075,0.4033007369480502
CartPole-v1#6.859999999999999#0.1#0.06999999999999999#0.35#19.0,1.0,0.7245505584155478,0.1557188982562038,0.1820467979928602
CartPole-v1#6.859999999999999#0.7#0.19#0.65#19.0,1.0,0.8164644052108877,0.38531397779680937,0.5847075657877239
LunarLander-v2#38.57142857142857#0.0#1.7,0.8536121313429508,0.752344369507651,0.8394950598227368,1.0
LunarLander-v2#27.142857142857142#1428.5714285714287#0.8999999999999999,-0.0,-0.0,0.3776140469949553,1.0
CartPole-v1#6.859999999999999#0.1#0.01#0.05#13.0,0.0,0.0,0.0,0.0
MountainCar-v0#0.28571428571428564#0.001142857142857143#0.0030357142857142857,0.0,0.0,0.0,0.0
LunarLander-v2#10.0#2000.0#1.7,-0.0,-0.0,1.0,0.6101454027730686
CartPole-v1#6.859999999999999#1.3#0.06999999999999999#0.65#19.0,1.0,0.7485943389063575,0.49547510466017836,0.518765711182416
CartPole-v1#6.859999999999999#1.9#0.19#0.35#13.0,0.8817616605213244,1.0,0.9634536041611366,0.7628733851385375
LunarLander-v2#10.0#857.1428571428571#1.2999999999999998,1.0,0.9902313401833299,0.9316644352053735,0.9365811425440402
CartPole-v1#18.62#0.7#0.13#0.95#1.0,1.0,0.9120480158455112,0.6772868086826069,-0.0
CartPole-v1#0.98#1.9#0.06999999999999999#0.65#13.0,1.0,0.9601819949993299,0.8708135172329556,0.662472097015694
CartPole-v1#0.98#0.1#0.19#0.05#13.0,0.0,0.0,0.0,0.0
CartPole-v1#6.859999999999999#1.9#0.01#0.05#1.0,0.9749289667524004,0.21567433780854015,1.0,0.014068649762324772
