instances,algo_PPO,algo_SACdiscrete,algo_IQN,algo_Rainbow
MountainCar-v0#0.3642857142857142#0.005#0.004428571428571429,0.6088488182398512,1.0,0.6060746963833963,-0.0
CartPole-v1#6.859999999999999#1.3#0.01#0.65#7.0,1.0,0.22405421171835987,0.273226948618337,-0.0
CartPole-v1#12.74#0.1#0.13#0.35#13.0,0.7059977918997584,0.2734452174556134,0.8839849342060084,1.0
MountainCar-v0#0.6#0.0037142857142857147#0.001642857142857143,0.5484402792820563,0.0936595960081557,0.5460846499500878,1.0
MountainCar-v0#0.05#0.005#0.005821428571428572,0.5410746951833735,0.5408611422262696,1.0,-0.0
MountainCar-v0#0.20714285714285713#0.002428571428571429#0.005821428571428572,0.0,0.0,0.0,0.0
CartPole-v1#6.859999999999999#1.9#0.06999999999999999#0.65#7.0,1.0,0.26690520378761284,0.07788682862668383,0.013101707100937974
CartPole-v1#0.98#0.1#0.13#0.95#13.0,0.29029525232428427,0.685328848837511,0.8810172007792632,1.0
MountainCar-v0#0.5214285714285714#0.005#0.001642857142857143,0.42708020877077213,1.0,0.39468474413582083,-0.0
LunarLander-v2#32.85714285714286#0.0#1.7,0.19950188101291708,1.0,0.19351502930510384,0.7745784212308633
MountainCar-v0#0.12857142857142856#0.001142857142857143#0.008607142857142858,0.0,0.0,0.0,0.0
LunarLander-v2#44.285714285714285#0.0#1.0999999999999999,1.0,0.7317376002533732,0.5977252663100872,0.33775959426371616
CartPole-v1#18.62#1.3#0.01#0.65#13.0,0.5615986162920891,0.9255185322029233,1.0,0.07937441548496756
LunarLander-v2#32.85714285714286#1714.2857142857142#1.7,-0.0,0.6013744350897131,-0.0,1.0
LunarLander-v2#44.285714285714285#571.4285714285714#1.0999999999999999,-0.0,0.6124009664338137,1.0,-0.0
LunarLander-v2#50.0#1714.2857142857142#1.5,-0.0,0.9011988030869408,1.0,0.6652847769442592
LunarLander-v2#15.714285714285715#2000.0#1.7,-0.0,-0.0,-0.0,-0.0
MountainCar-v0#0.6#0.0005#0.00025,0.5034384633625799,0.0,0.49264880246620824,1.0
LunarLander-v2#10.0#1714.2857142857142#1.0999999999999999,0.2809785948676513,1.0,0.9517942786966864,0.9345479097688567
CartPole-v1#0.98#0.1#0.01#0.35#19.0,1.0,0.7120611673357049,0.3901775236924799,0.46102744893338604
CartPole-v1#6.859999999999999#0.1#0.06999999999999999#0.35#19.0,0.3002585035842971,1.0,0.25395113782699763,0.30731364241158654
CartPole-v1#6.859999999999999#0.7#0.19#0.65#19.0,0.6772136922716381,1.0,0.6533225228494319,0.43229726562795306
LunarLander-v2#38.57142857142857#0.0#1.7,0.13151144942935028,1.0,0.7271683719141656,0.7741203258600171
LunarLander-v2#27.142857142857142#1428.5714285714287#0.8999999999999999,-0.0,-0.0,0.231026157375753,1.0
CartPole-v1#6.859999999999999#0.1#0.01#0.05#13.0,0.0,0.0,0.0,0.0
MountainCar-v0#0.28571428571428564#0.001142857142857143#0.0030357142857142857,0.0,0.0,0.0,0.0
LunarLander-v2#10.0#2000.0#1.7,-0.0,-0.0,1.0,-0.0
CartPole-v1#6.859999999999999#1.3#0.06999999999999999#0.65#19.0,1.0,0.3581085152345289,0.6417620343234155,0.7140929547471576
CartPole-v1#6.859999999999999#1.9#0.19#0.35#13.0,0.6089317342923972,0.49103615418937,1.0,0.5036394180716864
LunarLander-v2#10.0#857.1428571428571#1.2999999999999998,0.3122471659700809,1.0,0.9222724469159755,0.9226722557170076
CartPole-v1#18.62#0.7#0.13#0.95#1.0,0.4367943761660223,1.0,-0.0,-0.0
CartPole-v1#0.98#1.9#0.06999999999999999#0.65#13.0,0.5693634638429269,1.0,0.9708167305652109,0.0068889416462801795
CartPole-v1#0.98#0.1#0.19#0.05#13.0,0.0,0.0,0.0,0.0
CartPole-v1#6.859999999999999#1.9#0.01#0.05#1.0,1.0,0.6255263195971755,0.0156277129876143,0.05481681907628197
LunarLander-v2#44.285714285714285#285.7142857142857#1.0999999999999999,-0.0,1.0,0.3729554901246554,0.8855332109342857
CartPole-v1#0.98#1.3#0.19#0.65#19.0,0.5507610828442073,1.0,0.7399782972470207,0.16517812396476597
CartPole-v1#0.98#1.3#0.13#0.05#13.0,1.0,0.5721347619801309,0.33907479046963507,0.38610639762366616
LunarLander-v2#32.85714285714286#285.7142857142857#1.5,-0.0,1.0,0.8344250158506497,0.9048181412745107
LunarLander-v2#10.0#0.0#1.0999999999999999,-0.0,1.0,0.9243050719709416,0.941603289011983
CartPole-v1#6.859999999999999#0.7#0.06999999999999999#0.35#7.0,0.7135917218843605,0.21487591903421982,1.0,0.5136432785694836
CartPole-v1#12.74#1.9#0.19#0.95#7.0,1.0,0.4487184311166091,0.5862797624498236,-0.0
CartPole-v1#0.98#1.3#0.06999999999999999#0.35#19.0,0.6131248541357307,1.0,0.7896147243034185,0.6807947541155315
CartPole-v1#18.62#1.3#0.13#0.95#1.0,-0.0,0.7278588919707708,-0.0,1.0
LunarLander-v2#38.57142857142857#1428.5714285714287#1.2999999999999998,0.06222602692106665,0.5284340088325863,0.8092609912406162,1.0
CartPole-v1#12.74#1.3#0.06999999999999999#0.95#13.0,1.0,0.556951633755598,0.8061663397680742,0.47323609943616146
