instances,algo_PPO,algo_SACdiscrete,algo_IQN,algo_Rainbow
CartPole-v1#18.62#1.3#0.01#0.65#13.0,"[[27.353506565093994, 28.244559288024902, 28.863418340682983], [27.111695199999758, 27.96093269999983, 28.608202800000072]]","[[31.436485528945923, 30.1711323261261, 28.907203197479248], [31.09396770000012, 29.84782359999963, 28.598156300000028]]","[[23.164846897125244, 23.168111085891724, 23.466395378112793], [22.848711099999946, 22.858248999999887, 23.15631570000005]]","[[26.544111251831055, 26.14214777946472, 26.518786907196045], [26.2128402000003, 25.838129599999775, 26.196936000000278]]"
LunarLander-v2#32.85714285714286#1714.2857142857142#1.7,"[[28.145020246505737, 27.54953408241272, 29.910461902618408], [27.452267100000427, 26.815352100000382, 28.82668240000021]]","[[30.6045184135437, 33.637141704559326, 31.660309553146362], [29.742425999999796, 32.2408446999998, 30.746053400000164]]","[[26.04215145111084, 25.760722637176514, 26.776159048080444], [24.800862099999904, 24.51262130000032, 25.399232499999925]]","[[30.566582918167114, 29.352261066436768, 32.25162363052368], [28.832308000000012, 27.954221300000427, 30.264854699999887]]"
LunarLander-v2#44.285714285714285#571.4285714285714#1.0999999999999999,"[[28.99035930633545, 28.81018900871277, 28.56443214416504], [28.11580849999973, 27.901383699999315, 27.564716599999883]]","[[31.34546160697937, 30.8289475440979, 33.554025650024414], [30.400986399999965, 29.830564999999297, 32.350918099999944]]","[[25.66957712173462, 26.44259524345398, 26.2048282623291], [24.446476400000392, 25.04496289999952, 24.990597299999536]]","[[30.07798409461975, 31.996164560317993, 30.411120414733887], [28.637678699999924, 30.54058470000018, 28.67624000000069]]"
LunarLander-v2#50.0#1714.2857142857142#1.5,"[[28.503904104232788, 28.13189721107483, 27.66889524459839], [27.791612300000452, 27.287239399999635, 26.81776600000012]]","[[30.970403909683228, 33.418062925338745, 29.635225296020508], [30.061799399999472, 32.28309059999992, 28.525863100000606]]","[[20.46276330947876, 20.880996465682983, 22.964123010635376], [19.54726440000013, 19.85411960000056, 21.93406849999974]]","[[29.47525119781494, 26.849812746047974, 24.66509437561035], [28.135124099999302, 25.821363800000654, 23.75573059999988]]"
LunarLander-v2#15.714285714285715#2000.0#1.7,"[[27.454187154769897, 28.567961931228638, 28.211400270462036], [25.455111600000237, 26.262325300000157, 25.947387699999126]]","[[33.41057062149048, 34.25919461250305, 34.16001510620117], [29.932557199999792, 31.18464010000025, 31.513531800000237]]","[[26.086064100265503, 29.230915784835815, 29.121625900268555], [22.821998500000518, 25.20557000000008, 24.996363100000053]]","[[32.38168692588806, 33.502060651779175, 31.152084827423096], [28.09413239999958, 29.50833169999987, 27.434494900000573]]"
MountainCar-v0#0.6#0.0005#0.00025,"[[23.972198009490967, 23.166424989700317, 25.075403451919556], [23.766339299999345, 22.932367299999896, 24.85242030000063]]","[[26.460013151168823, 27.824905157089233, 26.837042093276978], [26.15993680000065, 27.51793749999979, 26.544523200000185]]","[[20.38753032684326, 19.756275415420532, 22.39267635345459], [20.126632900000004, 19.51254059999974, 22.11039680000067]]","[[27.851608991622925, 26.010826349258423, 26.98181390762329], [27.5312772999996, 25.74193749999995, 26.705075699999725]]"
LunarLander-v2#10.0#1714.2857142857142#1.0999999999999999,"[[25.240225553512573, 24.734039068222046, 23.655049085617065], [24.584835399999974, 24.077279699999963, 23.063991899999564]]","[[26.95160484313965, 27.65489625930786, 28.08031678199768], [25.981616400000348, 26.668010299999878, 27.05315090000022]]","[[21.278082609176636, 20.722864151000977, 21.15177869796753], [20.422829200000706, 19.874724600000263, 20.335889599999973]]","[[24.565487384796143, 25.33673858642578, 25.521681785583496], [23.70577890000004, 24.469165799999246, 24.61586460000035]]"
CartPole-v1#0.98#0.1#0.01#0.35#19.0,"[[28.12091326713562, 24.180447578430176, 25.32589292526245], [27.77603309999995, 23.865939199999957, 25.0093681999997]]","[[27.243926525115967, 26.44575047492981, 26.373286962509155], [26.868725500000437, 26.10888739999973, 26.024422500000583]]","[[18.692317724227905, 18.94152855873108, 20.27942681312561], [18.384006600000248, 18.637042499999552, 19.95031789999939]]","[[22.56311535835266, 22.91997981071472, 22.291932821273804], [22.26928669999961, 22.60277640000004, 22.007808399999703]]"
CartPole-v1#6.859999999999999#0.1#0.06999999999999999#0.35#19.0,"[[24.6752028465271, 26.9289870262146, 28.926472187042236], [24.402451899999505, 26.5997440000001, 28.5928085000005]]","[[28.004323482513428, 27.125678300857544, 27.340185165405273], [27.622239499999523, 26.770385999999235, 26.928671900000154]]","[[20.781622171401978, 19.155035972595215, 20.444989442825317], [20.40913179999916, 18.838584699999956, 20.095682099999976]]","[[23.770275831222534, 22.692580223083496, 23.558929204940796], [23.457344999999805, 22.382864199999858, 23.242602600000282]]"
CartPole-v1#6.859999999999999#0.7#0.19#0.65#19.0,"[[25.416454792022705, 26.55266761779785, 26.27409267425537], [25.180085699999836, 26.294592800000828, 26.003969399999733]]","[[27.378504514694214, 30.713424921035767, 30.07193922996521], [27.014425700000174, 30.328155900000638, 29.72662649999984]]","[[21.104833841323853, 20.76900053024292, 21.769140481948853], [20.776329299999816, 20.452348599999823, 21.41816050000034]]","[[25.686010599136353, 25.154492139816284, 24.51290464401245], [25.40018770000006, 24.875715499999387, 24.235619300000508]]"
LunarLander-v2#38.57142857142857#0.0#1.7,"[[23.851109504699707, 27.705317497253418, 26.559884071350098], [23.355243599999994, 26.891227600000093, 25.675320499999543]]","[[28.86176085472107, 28.31921124458313, 29.99853825569153], [28.005597800000032, 27.481300700000247, 28.8268465000001]]","[[24.159491062164307, 22.569568157196045, 21.993810176849365], [23.25505389999944, 21.827289599999858, 21.250882600000295]]","[[27.68699860572815, 28.144267320632935, 27.33516764640808], [26.562019599999985, 26.889435400000366, 26.29752020000069]]"
LunarLander-v2#27.142857142857142#1428.5714285714287#0.8999999999999999,"[[26.50505495071411, 26.894359350204468, 25.690849542617798], [24.952543200000036, 25.20515279999927, 24.32691479999994]]","[[32.521695137023926, 31.847026586532593, 30.414005994796753], [29.506438999999773, 29.177705099999912, 28.635844899999938]]","[[27.826595783233643, 28.844459772109985, 26.065504789352417], [23.24359060000006, 24.220327300000463, 22.042473799999243]]","[[32.19677782058716, 30.703141450881958, 31.847979307174683], [27.03006800000003, 26.214296000000104, 26.897707000000082]]"
CartPole-v1#6.859999999999999#0.1#0.01#0.05#13.0,"[[23.488892078399658, 23.050723791122437, 23.48817801475525], [23.23208590000013, 22.796012699999665, 23.23404660000051]]","[[27.47223472595215, 28.53598189353943, 24.07420253753662], [27.13209949999964, 28.188687599999867, 23.808905400000185]]","[[17.750259160995483, 20.631940364837646, 22.0209858417511], [17.51146349999999, 20.33605239999997, 21.729913699999997]]","[[26.74831533432007, 23.725483417510986, 23.537950038909912], [26.4738540999997, 23.47556489999988, 23.2888168999998]]"
MountainCar-v0#0.28571428571428564#0.001142857142857143#0.0030357142857142857,"[[28.41489601135254, 27.4662344455719, 28.385290145874023], [28.133264099999906, 27.168648299999404, 28.090937300000405]]","[[30.96521496772766, 30.76998519897461, 29.938836574554443], [30.58007379999981, 30.393720800000665, 29.607216399999743]]","[[22.839502811431885, 21.785610675811768, 22.180490255355835], [22.539498500000263, 21.51055919999999, 21.89596739999979]]","[[28.088255167007446, 30.47177529335022, 28.759159803390503], [27.7887068, 30.09965740000007, 28.43268850000095]]"
LunarLander-v2#10.0#2000.0#1.7,"[[32.66481566429138, 33.65148901939392, 31.256157398223877], [28.039830300000176, 27.874322599998777, 26.522609300000113]]","[[36.86347484588623, 37.04877018928528, 37.428122997283936], [29.564069800000652, 29.49894839999979, 29.541169300000547]]","[[29.28338646888733, 30.577720880508423, 29.697109699249268], [22.890863000000536, 24.380660900000294, 23.490660400000706]]","[[33.57438063621521, 32.837231159210205, 32.88532757759094], [27.432318000001032, 26.7364890000008, 26.526300000001356]]"
CartPole-v1#6.859999999999999#1.3#0.06999999999999999#0.65#19.0,"[[24.892651796340942, 25.762595653533936, 27.287485599517822], [24.61440229999971, 25.441388500001267, 26.989948899999945]]","[[28.483757972717285, 27.994879722595215, 28.03196907043457], [28.091868299999987, 27.64101159999882, 27.65933699999914]]","[[19.41555905342102, 23.365182399749756, 23.393409967422485], [19.09061769999971, 23.031614900000932, 23.05850409999948]]","[[25.41049027442932, 24.75503921508789, 24.463890314102173], [25.089737199999945, 24.444185199999993, 24.154157099999793]]"
