instances,algo_PPO,algo_SACdiscrete,algo_IQN,algo_Rainbow
MountainCar-v0#0.3642857142857142#0.005#0.004428571428571429,1.0,1.0,0.9962216673291935,0.010374012481233744
CartPole-v1#6.859999999999999#1.3#0.01#0.65#7.0,1.0,0.7710033694549805,0.6733659505491308,0.11947634137371235
CartPole-v1#12.74#0.1#0.13#0.35#13.0,1.0,0.7004712802522944,0.2586633758702663,0.29164683099079786
MountainCar-v0#0.6#0.0037142857142857147#0.001642857142857143,1.0,0.36645337693088287,0.8457943398353817,0.9967893787349194
MountainCar-v0#0.05#0.005#0.005821428571428572,1.0,1.0,0.9676515157313088,0.019607693073019954
MountainCar-v0#0.20714285714285713#0.002428571428571429#0.005821428571428572,0.0,0.0,0.0,0.0
CartPole-v1#6.859999999999999#1.9#0.06999999999999999#0.65#7.0,1.0,0.5989803597602299,0.7340510063094632,0.3113711524620565
CartPole-v1#0.98#0.1#0.13#0.95#13.0,0.8192075945285893,0.7411342297253966,0.6762167152091288,1.0
MountainCar-v0#0.5214285714285714#0.005#0.001642857142857143,1.0,1.0,0.9970005998800241,-0.0
LunarLander-v2#32.85714285714286#0.0#1.7,0.8226954009426382,0.7971312930156641,0.9077235640977976,1.0
MountainCar-v0#0.12857142857142856#0.001142857142857143#0.008607142857142858,0.0,0.0,0.0,0.0
LunarLander-v2#44.285714285714285#0.0#1.0999999999999999,0.8191937693191067,0.5346694991083912,0.9787925290667748,1.0
CartPole-v1#18.62#1.3#0.01#0.65#13.0,0.8275754100812683,0.8514154659221218,1.0,0.18292366754748965
LunarLander-v2#32.85714285714286#1714.2857142857142#1.7,0.7863489003582711,0.8120441059359745,0.9255507531238203,1.0
LunarLander-v2#44.285714285714285#571.4285714285714#1.0999999999999999,0.853718557430908,0.9263756270704425,0.9752817241082155,1.0
LunarLander-v2#50.0#1714.2857142857142#1.5,0.5488778023722655,0.7896343352014182,0.820720477902814,1.0
LunarLander-v2#15.714285714285715#2000.0#1.7,-0.0,-0.0,-0.0,1.0
MountainCar-v0#0.6#0.0005#0.00025,1.0,1.0,0.97532972209138,0.9931700423928401
LunarLander-v2#10.0#1714.2857142857142#1.0999999999999999,0.9930697352405113,1.0,0.9371010161530774,0.9405968676246651
CartPole-v1#0.98#0.1#0.01#0.35#19.0,0.9599039303573041,1.0,0.28719672659928236,0.33876905645773225
CartPole-v1#6.859999999999999#0.1#0.06999999999999999#0.35#19.0,0.8481755088995308,1.0,0.21805999092186087,0.2371916319969489
CartPole-v1#6.859999999999999#0.7#0.19#0.65#19.0,1.0,0.7547584724800656,0.3677659036868786,0.40325760275757877
LunarLander-v2#38.57142857142857#0.0#1.7,0.8932654161241994,0.8934532219186754,1.0,0.7880100101195306
LunarLander-v2#27.142857142857142#1428.5714285714287#0.8999999999999999,-0.0,-0.0,0.4488638380995863,1.0
CartPole-v1#6.859999999999999#0.1#0.01#0.05#13.0,0.0,0.0,0.0,0.0
MountainCar-v0#0.28571428571428564#0.001142857142857143#0.0030357142857142857,0.0,0.0,0.0,0.0
LunarLander-v2#10.0#2000.0#1.7,-0.0,-0.0,1.0,0.3343130169842421
CartPole-v1#6.859999999999999#1.3#0.06999999999999999#0.65#19.0,1.0,0.848533505748726,0.47469373550270344,0.5881712764234083
CartPole-v1#6.859999999999999#1.9#0.19#0.35#13.0,0.8027848312604815,0.9097365679954347,1.0,0.7107736376118553
LunarLander-v2#10.0#857.1428571428571#1.2999999999999998,1.0,0.9967935793335493,0.9335971690733831,0.9294000055140389
CartPole-v1#18.62#0.7#0.13#0.95#1.0,1.0,0.6287729296008774,0.4254972067958213,-0.0
CartPole-v1#0.98#1.9#0.06999999999999999#0.65#13.0,1.0,0.7883460003127007,0.9717424169272256,0.3207920123143188
CartPole-v1#0.98#0.1#0.19#0.05#13.0,0.0,0.0,0.0,0.0
CartPole-v1#6.859999999999999#1.9#0.01#0.05#1.0,0.7432726195445792,0.1673304695600652,1.0,0.01005728444270883
LunarLander-v2#44.285714285714285#285.7142857142857#1.0999999999999999,0.7902276550660093,0.7708243283181286,1.0,0.8284247640091952
CartPole-v1#0.98#1.3#0.19#0.65#19.0,1.0,0.7918927499375387,0.7677589250567404,0.6792306421996057
CartPole-v1#0.98#1.3#0.13#0.05#13.0,1.0,1.0,0.3971547704033613,0.4133165695289441
LunarLander-v2#32.85714285714286#285.7142857142857#1.5,0.15982511180254666,0.690695431819009,0.6008474894118362,1.0
LunarLander-v2#10.0#0.0#1.0999999999999999,0.6784990168902936,1.0,0.9373977820814663,0.9268313352403182
CartPole-v1#6.859999999999999#0.7#0.06999999999999999#0.35#7.0,0.8908517618147381,0.8670723877192844,1.0,0.6869504620996988
CartPole-v1#12.74#1.9#0.19#0.95#7.0,1.0,0.5610430915333384,0.4570286881677995,0.0562372713753147
CartPole-v1#0.98#1.3#0.06999999999999999#0.35#19.0,1.0,0.9155670020456842,0.976972818739732,0.7230198391608722
CartPole-v1#18.62#1.3#0.13#0.95#1.0,0.6356240034937182,1.0,-0.0,0.5855771798771929
LunarLander-v2#38.57142857142857#1428.5714285714287#1.2999999999999998,0.6574655760795919,0.6495489306895205,0.7798034266580077,1.0
CartPole-v1#12.74#1.3#0.06999999999999999#0.95#13.0,1.0,0.558497484630532,0.7081236354240034,0.2263168928161531
MountainCar-v0#0.4428571428571428#0.001142857142857143#0.007214285714285715,0.0,0.0,0.0,0.0
MountainCar-v0#0.4428571428571428#0.0030714285714285717#0.00025,0.38774386585764076,1.0,0.9908339092200089,0.39097136261115867
MountainCar-v0#0.05#0.0017857142857142859#0.008607142857142858,0.0,0.0,0.0,0.0
CartPole-v1#6.859999999999999#1.9#0.01#0.95#13.0,1.0,0.8312220912935979,0.650806265497847,0.11619296306974021
CartPole-v1#0.98#1.9#0.13#0.05#19.0,1.0,1.0,0.4062807481545491,0.3609759211529332
CartPole-v1#18.62#0.1#0.01#0.65#1.0,0.756012490414732,0.6419075541448415,1.0,0.4033789738326955
MountainCar-v0#0.20714285714285713#0.002428571428571429#0.0030357142857142857,0.7594033016943621,-0.0,0.5423771836782796,1.0
CartPole-v1#12.74#1.9#0.06999999999999999#0.65#19.0,1.0,0.8466866315935403,0.9148325658695936,0.353542614686445
MountainCar-v0#0.4428571428571428#0.001142857142857143#0.001642857142857143,1.0,1.0,0.25029411764705883,0.0
CartPole-v1#12.74#1.3#0.13#0.65#13.0,0.6337743864761461,0.8117858513843083,1.0,0.3411095587993955
CartPole-v1#0.98#1.3#0.19#0.95#7.0,1.0,0.5152979337478327,0.9294867626832299,0.13314347079823977
CartPole-v1#0.98#0.7#0.01#0.65#19.0,1.0,0.8578802088277171,0.8332644328429046,0.7353117038443284
MountainCar-v0#0.5214285714285714#0.0037142857142857147#0.007214285714285715,0.0,0.0,1.0,0.11779661016949122
CartPole-v1#0.98#1.3#0.01#0.65#1.0,1.0,0.690253239343148,-0.0,-0.0
CartPole-v1#12.74#0.1#0.01#0.35#7.0,1.0,0.7353291674747161,0.30570148189523727,0.3441661915141437
LunarLander-v2#44.285714285714285#857.1428571428571#0.3,0.16702046191649697,0.5128194593230581,1.0,0.9936327354805953
LunarLander-v2#15.714285714285715#857.1428571428571#1.0999999999999999,-0.0,-0.0,0.5690920087618778,1.0
MountainCar-v0#0.20714285714285713#0.0017857142857142859#0.004428571428571429,-0.0,-0.0,-0.0,-0.0
CartPole-v1#6.859999999999999#0.7#0.19#0.95#13.0,1.0,0.4543302259519511,0.5455898767443007,0.3492242833152451
MountainCar-v0#0.4428571428571428#0.002428571428571429#0.001642857142857143,1.0,0.5458099684993634,0.9962954763785844,0.27916144533288934
MountainCar-v0#0.5214285714285714#0.0037142857142857147#0.00025,1.0,1.0,0.9305525057135453,0.3616200551327663
LunarLander-v2#38.57142857142857#571.4285714285714#0.7,-0.0,0.5857652111506827,0.7792854311689251,1.0
MountainCar-v0#0.3642857142857142#0.001142857142857143#0.0030357142857142857,0.0,0.0,0.0,0.0
CartPole-v1#0.98#0.7#0.19#0.05#19.0,0.7924779675519783,1.0,0.09216644275642802,0.13672441642242145
CartPole-v1#12.74#0.1#0.06999999999999999#0.65#19.0,0.49636380546557074,1.0,0.24599747633269725,0.2723330596819741
MountainCar-v0#0.3642857142857142#0.0030714285714285717#0.001642857142857143,0.6031500867608642,1.0,0.9963503232080545,0.6021852296779361
CartPole-v1#18.62#0.7#0.13#0.35#1.0,1.0,0.34593240280019844,0.4409022862034325,-0.0
MountainCar-v0#0.12857142857142856#0.004357142857142858#0.004428571428571429,0.9999489421200016,1.0,0.9957621959601435,0.022088424393098747
CartPole-v1#0.98#1.9#0.06999999999999999#0.65#1.0,0.2948562792770012,1.0,-0.0,-0.0
MountainCar-v0#0.05#0.0037142857142857147#0.004428571428571429,0.5280120067824574,1.0,0.9528359531338314,0.4814437162977561
CartPole-v1#6.859999999999999#1.9#0.06999999999999999#0.95#1.0,1.0,0.9295157707178061,-0.0,-0.0
LunarLander-v2#27.142857142857142#2000.0#0.5,-0.0,-0.0,1.0,0.93910325925085
MountainCar-v0#0.4428571428571428#0.0030714285714285717#0.004428571428571429,0.624670810070578,0.624670810070578,1.0,-0.0
CartPole-v1#12.74#0.1#0.19#0.95#19.0,0.732553333312405,1.0,0.32178692393668523,0.3598217787269953
CartPole-v1#18.62#0.1#0.13#0.65#7.0,1.0,0.5431640084432794,0.2763775267178474,0.36401545162872856
CartPole-v1#12.74#1.9#0.01#0.65#19.0,1.0,0.6415969295889695,0.7423557402161005,0.22476832736187313
CartPole-v1#0.98#0.7#0.13#0.65#19.0,1.0,0.8288335429339853,0.7304119064945586,0.6152172133946592
LunarLander-v2#27.142857142857142#571.4285714285714#1.5,-0.0,0.6225905414973754,0.2651298047363118,1.0
CartPole-v1#12.74#0.7#0.19#0.05#19.0,1.0,0.44992469453127343,0.14838341344250786,0.20631991639512307
LunarLander-v2#38.57142857142857#1714.2857142857142#1.7,0.6848441750519745,0.7733691222485803,0.8296077751195696,1.0
LunarLander-v2#44.285714285714285#857.1428571428571#0.7,0.4384882188930369,0.6231300905544694,1.0,0.9384241947454747
CartPole-v1#12.74#0.7#0.19#0.35#13.0,1.0,0.5004670861094398,0.41857701843422124,0.4616752113834278
CartPole-v1#18.62#0.1#0.01#0.65#7.0,1.0,0.9315473278515649,0.41364491107584944,0.42741469606663457
CartPole-v1#0.98#0.7#0.19#0.05#7.0,1.0,1.0,0.4980569249926831,0.4366937005717765
CartPole-v1#18.62#1.9#0.01#0.05#7.0,0.7565397281409434,0.2492477928711858,1.0,0.8520859830815372
LunarLander-v2#44.285714285714285#1142.857142857143#0.5,-0.0,0.6590516103865934,1.0,0.9532088352156449
CartPole-v1#18.62#0.7#0.13#0.05#1.0,0.1858494021052109,0.09941198473131609,1.0,0.01887804030752419
CartPole-v1#6.859999999999999#0.7#0.13#0.95#19.0,1.0,0.5115606768737563,0.38219149357629667,0.4587280893326162
LunarLander-v2#38.57142857142857#285.7142857142857#1.5,0.8038162114095837,0.8005636078411188,0.9915166557678731,1.0
LunarLander-v2#21.42857142857143#571.4285714285714#0.7,-0.0,-0.0,1.0,0.7895294783344635
MountainCar-v0#0.6#0.004357142857142858#0.0030357142857142857,1.0,0.9987774171481799,0.6258896473430654,-0.0
CartPole-v1#6.859999999999999#1.9#0.19#0.05#7.0,0.7571291138307085,0.6940163820630293,1.0,0.47771927769065536
CartPole-v1#0.98#0.7#0.19#0.35#13.0,1.0,0.9343476833153048,0.9672693220484097,0.9115469660024699
CartPole-v1#18.62#1.3#0.06999999999999999#0.95#1.0,1.0,0.3107667380900574,0.022454727281891265,0.02239694932381348
CartPole-v1#0.98#1.9#0.19#0.65#7.0,1.0,0.8193161609944459,0.9700162494190783,-0.0
CartPole-v1#6.859999999999999#0.7#0.19#0.35#7.0,1.0,0.6895711104513064,0.86709936658749,0.4709598178939034
MountainCar-v0#0.12857142857142856#0.0017857142857142859#0.0030357142857142857,-0.0,-0.0,1.0,-0.0
LunarLander-v2#44.285714285714285#857.1428571428571#0.5,0.23030381667000382,0.5011814908500121,1.0,0.6772995788843295
MountainCar-v0#0.05#0.001142857142857143#0.001642857142857143,0.7779138099902055,0.7411851126346718,1.0,0.9607411034933073
MountainCar-v0#0.4428571428571428#0.002428571428571429#0.00025,0.9998858903406173,1.0,0.995036229816854,0.45946254350430765
MountainCar-v0#0.3642857142857142#0.0037142857142857147#0.004428571428571429,0.6389048915889808,1.0,0.7870273384309207,0.17607625432072901
MountainCar-v0#0.3642857142857142#0.0005#0.008607142857142858,0.0,0.0,0.0,0.0
CartPole-v1#6.859999999999999#1.9#0.01#0.35#13.0,1.0,0.6290993982560336,0.9128067117811456,0.5655019708443719
LunarLander-v2#50.0#1428.5714285714287#1.5,0.37234583460771004,0.83178314239319,1.0,0.859430612136227
MountainCar-v0#0.12857142857142856#0.0017857142857142859#0.004428571428571429,-0.0,-0.0,-0.0,-0.0
CartPole-v1#6.859999999999999#0.7#0.13#0.35#13.0,1.0,0.6916470132704424,0.6101235523953676,0.47470871906790096
CartPole-v1#6.859999999999999#1.3#0.19#0.65#13.0,0.9008668245234718,0.8428928829541029,1.0,0.5428890583680813
CartPole-v1#0.98#1.9#0.01#0.65#19.0,1.0,0.7194253726000492,0.6560651926436938,0.47343036883729556
CartPole-v1#6.859999999999999#0.7#0.19#0.95#19.0,1.0,0.7738531283896913,0.4558006475900329,0.46881383119206477
CartPole-v1#0.98#1.3#0.06999999999999999#0.35#7.0,0.9114503625802202,1.0,0.8850997043480437,0.5009442410418291
CartPole-v1#18.62#1.3#0.13#0.35#19.0,0.7576926189655193,1.0,0.5902916674536876,0.5442799612689159
CartPole-v1#0.98#0.7#0.19#0.95#7.0,1.0,0.6654652142143984,0.9266556226747655,0.44428082974961364
CartPole-v1#0.98#0.1#0.13#0.05#7.0,0.0,0.0,0.0,0.0
CartPole-v1#12.74#1.9#0.13#0.35#19.0,0.877711550103122,0.5829969791968659,1.0,0.38671838033278394
MountainCar-v0#0.28571428571428564#0.002428571428571429#0.007214285714285715,0.0,0.0,0.0,0.0
MountainCar-v0#0.20714285714285713#0.002428571428571429#0.007214285714285715,0.0,0.0,0.0,0.0
MountainCar-v0#0.3642857142857142#0.0017857142857142859#0.007214285714285715,0.0,0.0,0.0,0.0
LunarLander-v2#38.57142857142857#1428.5714285714287#0.3,0.27034563632480313,0.38241878346516506,1.0,0.9293455812840522
MountainCar-v0#0.05#0.002428571428571429#0.005821428571428572,-0.0,-0.0,1.0,-0.0
CartPole-v1#0.98#1.3#0.13#0.65#1.0,1.0,0.790105837624305,-0.0,-0.0
CartPole-v1#12.74#0.7#0.01#0.95#7.0,0.8621385078794619,0.8123860742311222,1.0,0.8665856527865758
MountainCar-v0#0.12857142857142856#0.001142857142857143#0.0030357142857142857,0.0,0.0,0.0,0.0
CartPole-v1#6.859999999999999#1.3#0.06999999999999999#0.95#13.0,1.0,0.7469037578427042,0.5715659997216861,0.4566562399791871
CartPole-v1#12.74#1.3#0.13#0.35#19.0,0.9249913048968751,0.4551310128528349,1.0,0.5601917353144286
CartPole-v1#18.62#1.3#0.19#0.05#1.0,0.0724358255002099,0.048231088082941256,1.0,0.014139908621999505
LunarLander-v2#44.285714285714285#285.7142857142857#0.8999999999999999,0.6758037457708584,-0.0,0.8903292774659888,1.0
CartPole-v1#18.62#0.1#0.06999999999999999#0.35#7.0,1.0,0.8521311748367956,0.4573101909879621,0.49282602890245003
LunarLander-v2#32.85714285714286#1142.857142857143#1.7,0.8866675462567517,0.9417679646880719,0.882698623328229,1.0
CartPole-v1#6.859999999999999#1.3#0.01#0.05#19.0,1.0,0.2280637560559328,0.24010637063137633,0.23764205181864076
MountainCar-v0#0.3642857142857142#0.0017857142857142859#0.005821428571428572,0.0,0.0,0.0,0.0
MountainCar-v0#0.12857142857142856#0.004357142857142858#0.01,0.0,0.0,1.0,0.0
CartPole-v1#12.74#0.7#0.01#0.65#7.0,1.0,0.9779797871695709,0.5275002445017835,0.3718526552263211
LunarLander-v2#10.0#2000.0#0.8999999999999999,0.7390188709167756,1.0,0.9278354571697229,0.971136721280996
MountainCar-v0#0.20714285714285713#0.005#0.004428571428571429,1.0,1.0,0.9932367066797182,0.06710343287939402
MountainCar-v0#0.20714285714285713#0.002428571428571429#0.008607142857142858,0.0,0.0,0.0,0.0
CartPole-v1#6.859999999999999#1.9#0.13#0.35#7.0,1.0,0.8893053359978524,0.7508563247531841,0.18338480925820982
CartPole-v1#6.859999999999999#1.3#0.13#0.65#19.0,1.0,0.7569146358642742,0.4899393772749255,0.33977432642357874
CartPole-v1#12.74#0.7#0.01#0.35#1.0,0.8221547187758207,1.0,0.7647154225649995,-0.0
CartPole-v1#0.98#0.7#0.13#0.65#1.0,1.0,0.6347519822204295,0.8637809748699926,0.3887673224278704
CartPole-v1#12.74#0.7#0.01#0.65#19.0,1.0,0.738125440332888,0.48633752716234285,0.3132674843587532
CartPole-v1#18.62#1.9#0.13#0.95#1.0,1.0,0.37319815415559426,0.0205501216944335,0.04227179238266175
MountainCar-v0#0.20714285714285713#0.0005#0.01,0.0,0.0,0.0,0.0
LunarLander-v2#38.57142857142857#0.0#1.5,0.7328505494353001,0.7068471294112063,0.7348710552046062,1.0
CartPole-v1#18.62#1.3#0.19#0.35#7.0,1.0,0.7322249878444543,0.9822105001300361,0.25377351956760186
CartPole-v1#0.98#0.7#0.19#0.35#1.0,1.0,0.5262975705451662,0.8057026209833581,0.4593945445353109
MountainCar-v0#0.5214285714285714#0.0005#0.001642857142857143,0.0,0.0,0.0,0.0
LunarLander-v2#32.85714285714286#857.1428571428571#0.7,-0.0,-0.0,1.0,0.6315747668795678
CartPole-v1#0.98#1.3#0.06999999999999999#0.65#13.0,0.9610450142038033,0.8314294477459413,1.0,0.7880211242233445
MountainCar-v0#0.4428571428571428#0.001142857142857143#0.00025,0.6211973760826103,0.6212391128194896,1.0,0.6188183820804847
CartPole-v1#6.859999999999999#1.3#0.19#0.35#13.0,1.0,0.762168759753319,0.7818224091330354,0.3854370087219005
MountainCar-v0#0.28571428571428564#0.005#0.001642857142857143,1.0,1.0,0.9970361161751496,0.9038670724635484
CartPole-v1#12.74#1.9#0.13#0.35#13.0,0.6540082605234069,0.708447840952717,1.0,0.29558760251577515
LunarLander-v2#10.0#0.0#0.3,-0.0,1.0,0.67182705603962,0.7907622482341918
CartPole-v1#0.98#1.9#0.01#0.05#19.0,1.0,1.0,0.42744918335497323,0.4210406616959125
MountainCar-v0#0.12857142857142856#0.0005#0.004428571428571429,0.0,0.0,0.0,0.0
CartPole-v1#0.98#0.7#0.13#0.05#19.0,1.0,0.9367567724676676,0.11538480628612888,0.14860834774482112
MountainCar-v0#0.28571428571428564#0.0030714285714285717#0.00025,1.0,0.9999334553318916,0.996872400598902,-0.0
CartPole-v1#6.859999999999999#1.3#0.01#0.35#19.0,1.0,0.6366706508958047,0.5761037635599923,0.46483055165129855
CartPole-v1#18.62#1.3#0.01#0.35#1.0,1.0,0.3364263907783695,0.13411080751852045,0.010777149255817953
CartPole-v1#12.74#0.1#0.13#0.95#1.0,1.0,0.3859423719492789,0.7624477189654909,0.0038649721618708825
CartPole-v1#0.98#1.9#0.19#0.65#13.0,0.916046574162429,0.8880620988832385,1.0,0.23627368626452463
MountainCar-v0#0.12857142857142856#0.001142857142857143#0.007214285714285715,0.0,0.0,0.0,0.0
CartPole-v1#0.98#1.9#0.06999999999999999#0.35#19.0,0.9530730537413771,1.0,0.8190725341967919,0.8893023670766173
LunarLander-v2#27.142857142857142#571.4285714285714#0.7,-0.0,-0.0,-0.0,1.0
LunarLander-v2#44.285714285714285#1142.857142857143#0.7,0.4163939349068019,0.636965941508371,0.9421688348048476,1.0
MountainCar-v0#0.3642857142857142#0.005#0.001642857142857143,1.0,1.0,0.9981648608082252,0.43092925643444496
LunarLander-v2#21.42857142857143#571.4285714285714#0.8999999999999999,-0.0,-0.0,-0.0,1.0
CartPole-v1#18.62#1.9#0.06999999999999999#0.95#19.0,0.8553558920660702,0.729023506236308,1.0,0.14184611411832887
CartPole-v1#0.98#0.7#0.01#0.35#7.0,1.0,0.9551684222710962,0.8622062738742909,0.816541266350272
MountainCar-v0#0.28571428571428564#0.0005#0.00025,0.7479994864992084,0.7479994864992084,1.0,0.7447045230861397
LunarLander-v2#10.0#857.1428571428571#1.5,0.9312606932503776,0.9974749079317661,1.0,0.9815481339159149
CartPole-v1#0.98#1.3#0.06999999999999999#0.05#19.0,1.0,1.0,0.1608397578372748,0.1750462657280226
CartPole-v1#6.859999999999999#0.1#0.19#0.95#1.0,1.0,0.5892249605865171,0.6765235334230945,0.4341571295804642
CartPole-v1#18.62#0.7#0.01#0.95#13.0,1.0,0.8931486880466472,0.610932944606414,0.42252186588921287
CartPole-v1#6.859999999999999#0.1#0.13#0.35#7.0,1.0,0.8862533879681147,0.3918190063364991,0.5120219639547411
MountainCar-v0#0.28571428571428564#0.005#0.007214285714285715,0.8096945360676902,0.8096945360676902,1.0,0.45260289688799615
CartPole-v1#18.62#0.7#0.01#0.95#1.0,1.0,0.6884456055410068,0.1931057884294248,-0.0
CartPole-v1#0.98#1.9#0.19#0.65#1.0,1.0,-0.0,-0.0,-0.0
LunarLander-v2#44.285714285714285#1714.2857142857142#1.0999999999999999,0.5610005091798422,0.6770355245132789,1.0,0.9947486498963204
MountainCar-v0#0.05#0.0005#0.005821428571428572,0.0,0.0,0.0,0.0
LunarLander-v2#15.714285714285715#285.7142857142857#1.5,-0.0,-0.0,-0.0,1.0
MountainCar-v0#0.5214285714285714#0.002428571428571429#0.001642857142857143,0.6478773216228612,0.49937524133697325,1.0,-0.0
CartPole-v1#12.74#1.9#0.19#0.95#13.0,1.0,0.4706356706393242,0.47924249932654944,0.11966339360510482
CartPole-v1#0.98#0.1#0.06999999999999999#0.35#19.0,1.0,0.7317243994331538,0.3447571695246117,0.33244668742067857
CartPole-v1#6.859999999999999#0.7#0.13#0.05#13.0,1.0,0.4737919218965599,0.1414349821428338,0.17085277385271141
CartPole-v1#6.859999999999999#1.3#0.13#0.95#1.0,0.35874505284216945,1.0,-0.0,-0.0
LunarLander-v2#50.0#1714.2857142857142#1.2999999999999998,0.39632016304892137,0.6971777708216423,0.915920966868442,1.0
MountainCar-v0#0.4428571428571428#0.001142857142857143#0.005821428571428572,0.0,0.0,0.0,0.0
CartPole-v1#12.74#0.7#0.13#0.05#1.0,0.32544448861110314,0.07446434049536617,1.0,0.07045854896878986
CartPole-v1#12.74#0.1#0.13#0.35#7.0,0.9313807097082546,1.0,0.2740415958782582,0.3835614983663108
LunarLander-v2#10.0#285.7142857142857#0.8999999999999999,0.9320883727370817,1.0,0.9403440105097758,0.9142156323700514
LunarLander-v2#38.57142857142857#857.1428571428571#1.0999999999999999,1.0,0.7638884789423666,0.9492498558176187,0.8324294025582424
MountainCar-v0#0.6#0.0030714285714285717#0.004428571428571429,0.4972787970599784,0.4972787970599784,1.0,0.07605341412781211
CartPole-v1#18.62#0.1#0.01#0.65#19.0,0.7125613020167199,1.0,0.34806522788680616,0.34265498081532736
CartPole-v1#0.98#1.9#0.19#0.05#19.0,1.0,1.0,0.39499536509221866,0.46723422089153605
CartPole-v1#6.859999999999999#0.1#0.06999999999999999#0.35#1.0,1.0,0.7741396801125099,0.8358820653052481,0.4054792355528956
CartPole-v1#6.859999999999999#0.1#0.13#0.95#1.0,1.0,0.7997854468545752,0.5588555348454384,0.3946123564427272
LunarLander-v2#38.57142857142857#2000.0#1.2999999999999998,0.5494544315887177,0.6918731666313422,0.9337059059774724,1.0
CartPole-v1#0.98#0.7#0.06999999999999999#0.35#1.0,1.0,0.8882164633156497,0.7540524102344326,-0.0
CartPole-v1#18.62#0.1#0.13#0.05#13.0,0.0,0.0,0.0,0.0
CartPole-v1#12.74#0.1#0.06999999999999999#0.65#7.0,1.0,0.8428023423794289,0.3494895607841511,0.5649535316540458
CartPole-v1#0.98#0.7#0.13#0.95#13.0,1.0,0.7192391938179362,0.9018351088037104,0.5108346689401798
CartPole-v1#18.62#0.7#0.01#0.35#7.0,1.0,0.7468678204415219,0.9427414597906778,0.4314652620223062
MountainCar-v0#0.12857142857142856#0.0037142857142857147#0.005821428571428572,-0.0,0.6943453100339807,0.6859279691743317,1.0
CartPole-v1#18.62#1.3#0.13#0.95#19.0,0.8514907487403802,1.0,0.8628808388074897,0.500325510363651
LunarLander-v2#10.0#857.1428571428571#1.7,-0.0,-0.0,1.0,0.16793885487745647
CartPole-v1#6.859999999999999#1.3#0.19#0.05#13.0,1.0,0.5430587997818815,0.3940360853973148,0.37114671228470425
CartPole-v1#6.859999999999999#0.1#0.01#0.95#1.0,0.76466332618194,1.0,0.7408784096821788,0.13212971344533223
MountainCar-v0#0.4428571428571428#0.0005#0.0030357142857142857,0.0,0.0,0.0,0.0
CartPole-v1#18.62#1.3#0.19#0.35#1.0,1.0,0.2744201294354246,0.10258932898894343,0.014692651192420574
LunarLander-v2#15.714285714285715#0.0#1.2999999999999998,-0.0,-0.0,-0.0,1.0
CartPole-v1#12.74#1.3#0.01#0.65#19.0,0.9735636647296744,0.7201929718454576,1.0,0.6404793282497311
LunarLander-v2#15.714285714285715#571.4285714285714#1.5,-0.0,-0.0,-0.0,1.0
LunarLander-v2#44.285714285714285#2000.0#1.0999999999999999,0.5739725986143795,0.7211621802192075,0.8432126927482323,1.0
CartPole-v1#6.859999999999999#0.1#0.19#0.05#1.0,1.0,0.6952756991356908,0.7045517228330596,0.9127776876217562
MountainCar-v0#0.05#0.0017857142857142859#0.005821428571428572,1.0,0.0,0.0,0.0
LunarLander-v2#10.0#0.0#0.7,0.6495938082640635,0.5880332016348846,0.5582954082349815,1.0
MountainCar-v0#0.4428571428571428#0.0005#0.001642857142857143,0.0,0.0,0.0,0.0
MountainCar-v0#0.20714285714285713#0.0017857142857142859#0.008607142857142858,0.0,0.0,0.0,0.0
CartPole-v1#6.859999999999999#1.3#0.06999999999999999#0.65#7.0,1.0,0.8725334883005164,0.5818256656274012,0.72708938839436
MountainCar-v0#0.28571428571428564#0.001142857142857143#0.005821428571428572,0.0,0.0,0.0,0.0
MountainCar-v0#0.6#0.0017857142857142859#0.01,0.0,0.0,0.0,0.0
LunarLander-v2#15.714285714285715#1428.5714285714287#1.0999999999999999,-0.0,-0.0,-0.0,1.0
LunarLander-v2#15.714285714285715#285.7142857142857#0.7,0.9629962785559542,1.0,0.9090059222637775,0.9111961428316054
LunarLander-v2#50.0#0.0#0.3,-0.0,-0.0,0.6853756480123689,1.0
LunarLander-v2#50.0#1714.2857142857142#1.0999999999999999,0.3842252635466861,0.781117435667869,1.0,0.9054003220261579
