instances,Rtestmax,avRandomScore,normalisedScore,gamma,numPrototypes,explorationMode
MountainCar-v0#0.3642857142857142#0.005#0.004428571428571429,-23.8,-417.02272727272725,1.0,0.9,10,optimistic
MountainCar-v0#0.3642857142857142#0.005#0.004428571428571429,-27.2,-417.02272727272725,0.9913535007918252,0.9,10,epsilonGreedy
MountainCar-v0#0.3642857142857142#0.005#0.004428571428571429,-500.0,-417.02272727272725,-0.0,0.9,50,optimistic
MountainCar-v0#0.3642857142857142#0.005#0.004428571428571429,-161.6,-417.02272727272725,0.6495624732686772,0.9,50,epsilonGreedy
MountainCar-v0#0.3642857142857142#0.005#0.004428571428571429,-55.6,-417.02272727272725,0.9191298015235408,0.9,100,optimistic
MountainCar-v0#0.3642857142857142#0.005#0.004428571428571429,-500.0,-417.02272727272725,-0.0,0.9,100,epsilonGreedy
MountainCar-v0#0.3642857142857142#0.005#0.004428571428571429,-500.0,-417.02272727272725,-0.0,0.95,10,optimistic
MountainCar-v0#0.3642857142857142#0.005#0.004428571428571429,-26.5,-417.02272727272725,0.9931336623935082,0.95,10,epsilonGreedy
MountainCar-v0#0.3642857142857142#0.005#0.004428571428571429,-23.8,-417.02272727272725,1.0,0.95,50,optimistic
MountainCar-v0#0.3642857142857142#0.005#0.004428571428571429,-468.3,-417.02272727272725,-0.0,0.95,50,epsilonGreedy
MountainCar-v0#0.3642857142857142#0.005#0.004428571428571429,-46.8,-417.02272727272725,0.9415089759446994,0.95,100,optimistic
MountainCar-v0#0.3642857142857142#0.005#0.004428571428571429,-500.0,-417.02272727272725,-0.0,0.95,100,epsilonGreedy
MountainCar-v0#0.3642857142857142#0.005#0.004428571428571429,-23.8,-417.02272727272725,1.0,1.0,10,optimistic
MountainCar-v0#0.3642857142857142#0.005#0.004428571428571429,-26.5,-417.02272727272725,0.9931336623935082,1.0,10,epsilonGreedy
MountainCar-v0#0.3642857142857142#0.005#0.004428571428571429,-27.2,-417.02272727272725,0.9913535007918252,1.0,50,optimistic
MountainCar-v0#0.3642857142857142#0.005#0.004428571428571429,-27.8,-417.02272727272725,0.9898276479903825,1.0,50,epsilonGreedy
MountainCar-v0#0.3642857142857142#0.005#0.004428571428571429,-25.3,-417.02272727272725,0.9961853679963935,1.0,100,optimistic
MountainCar-v0#0.3642857142857142#0.005#0.004428571428571429,-26.4,-417.02272727272725,0.9933879711937487,1.0,100,epsilonGreedy
