instances,feature_PIC,feature_POIC,feature_neutrality,feature_lostrictmax,feature_lomax,feature_lostrictmin,feature_lomin,feature_yskew,feature_ykurtosis,feature_sqrDcorSASp,feature_GX1,feature_GX2,feature_GX3,feature_PX1,feature_PX2,feature_PX3,feature_EX1,feature_EX2,algo_PPO,algo_SACdiscrete,algo_IQN,algo_Rainbow,source
MountainCar-v0#0.3642857142857142#0.005#0.004428571428571429,0.6135332442669134,0.0395052525540335,0.1178692232432556,0.1,0.1,0.06,0.36,1.828861729800995,3.0765856730901184,0.1255036873424525,0.7896678537346088,0.473948513837488,1.0,1.0,0.8253622766688006,0.9367514403771168,0.9984608388428304,1.0,1.0,1.0,0.996309706974538,0.9945706033648376,MountainCar
CartPole-v1#6.859999999999999#1.3#0.01#0.65#7.0,0.7056932764031993,0.0039297756582373,0.0017410714285714,0.11,0.11,0.08,0.08,1.6711920391934123,2.635015384949772,0.6453534787429047,-0.0,0.1926400014597741,1.0,-0.0,0.802892302047021,1.0,1.0,-0.0,1.0,0.7158911863681457,0.576625688109086,0.6279775914723102,CartPole
CartPole-v1#12.74#0.1#0.13#0.35#13.0,0.3897787600941329,0.0030454254854448,0.0161047559097541,0.11,0.11,0.09,0.1,0.7964166782149401,0.0783520389461314,0.4883260459442138,0.9100995732574682,0.707823613086771,1.0,0.0534796090591513,1.0,0.0883542018291007,1.0,0.5268173155458751,1.0,0.4604574149090779,0.1768476495843196,0.177619376836904,CartPole
MountainCar-v0#0.6#0.0037142857142857147#0.001642857142857143,0.7602123469084425,0.0533751170789795,0.0437758886822186,0.08,0.08,0.07,0.25,1.3069759085749315,1.132737253854473,0.2624192010129647,0.7488028657070579,0.7757116496353698,1.0,1.0,0.9719575309929652,0.6237394493540652,0.9994155531617428,1.0,1.0,0.9990416055925132,0.997747773142406,0.9967893787349194,MountainCar
MountainCar-v0#0.05#0.005#0.005821428571428572,0.9178222550127432,0.0628017759415413,0.0228332396858611,0.11,0.11,0.07,0.2,0.5560303663065974,-0.913346804123262,0.1180157748415097,0.4103508983896302,0.955022984736294,1.0,1.0,0.9121236542833292,0.8966610917094898,0.9917994269340976,1.0,1.0,1.0,0.9872922439988498,0.0400834510685004,MountainCar
MountainCar-v0#0.20714285714285713#0.002428571428571429#0.005821428571428572,0.131990668313295,0.0084197309801312,0.8434922750786668,0.08,0.44,0.0,0.91,6.060707606823954,41.53354344258497,0.0889533888869786,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,MountainCar
CartPole-v1#6.859999999999999#1.9#0.06999999999999999#0.65#7.0,0.7650800109756113,0.0049063655409606,0.0008465608465608,0.12,0.12,0.11,0.11,1.447168932442936,1.628208822659165,0.5379738287423499,0.1225580010434654,0.1225580010434654,1.0,0.1197052964622192,0.2873325177626826,1.0,1.0,-0.0,1.0,0.7679824296423936,0.7340510063094632,0.3987980630315892,CartPole
CartPole-v1#0.98#0.1#0.13#0.95#13.0,0.4446476874659864,0.0023151737737799,0.0106106366459627,0.06,0.06,0.12,0.14,1.7696838983388472,3.331637132923463,0.6288161331896597,0.9415023412253514,0.558497658774649,1.0,-0.0,1.0,0.7455807511698611,1.0,-0.0,1.0,0.6455622376871792,0.6531255839501247,0.9378801939635802,CartPole
MountainCar-v0#0.5214285714285714#0.005#0.001642857142857143,0.9433677654556316,0.0800744889867047,0.0144831973581973,0.07,0.07,0.1,0.18,0.595887055685211,-0.8275380278864568,0.2308858993600789,0.4381061381844467,0.9911451117402568,1.0,0.97013113161729,1.0,0.4981787275376396,0.9956321281242416,1.0,1.0,1.0,0.9974821653378096,-0.0,MountainCar
LunarLander-v2#32.85714285714286#0.0#1.7,0.8711849734297807,0.062656621116942,0.0,0.09,0.09,0.09,0.09,-1.1127302070245737,2.4893224006372066,0.7140176535289013,0.9459051395937677,1.0,0.9772103445991512,0.8670203342994584,1.0,0.9935902962974033,0.9029344985349204,1.0,0.8370664253910081,0.8209087714172064,0.8329956364213806,1.0,LunarLander
